chr10	97956160	97956183	6	ONEseq	0.001	NNNN
chr10	28148491	28148514	6	CHANGEseq	y	NNNN
chr10	3589608	3589631	6	CHANGEseq	y	NNNN
chr10	3589608	3589631	6	ONEseq	0.001	NNNN
chr10	29614186	29614209	6	CHANGEseq	y	NNNN
chr10	107600631	107600654	6	CHANGEseq	y	NNNN
chr10	107600631	107600654	6	CIRCLEseq	y	NNNN
chr10	107600631	107600654	6	ONEseq	0.007	NNNN
chr10	94515862	94515885	6	ONEseq	0.001	NNNN
chr10	54114901	54114924	6	CHANGEseq	y	NNNN
chr10	37563713	37563736	6	CHANGEseq	y	NNNN
chr10	37563713	37563736	6	ONEseq	0.003	NNNN
chr10	99667574	99667597	6	CHANGEseq	y	NNNN
chr10	20403477	20403500	4	CHANGEseq	y	NNNN
chr10	20403477	20403500	4	ONEseq	0.004	NNNN
chr10	74051854	74051877	6	CHANGEseq	y	NNNN
chr10	11241184	11241208	5	ONEseq	0.003	NNNN
chr10	119546583	119546606	5	CHANGEseq	y	NNNN
chr10	119546583	119546606	5	CIRCLEseq	y	NNNN
chr10	119546583	119546606	5	ONEseq	0.005	NNNN
chr10	62373051	62373074	6	ONEseq	0.003	NNNN
chr10	129829339	129829362	5	ONEseq	0.013	NNNN
chr10	38633008	38633031	6	ONEseq	0.001	NNNN
chr10	42284775	42284798	6	ONEseq	0.001	NNNN
chr10	34800801	34800824	4	CHANGEseq	y	NNNN
chr10	34800801	34800824	4	CIRCLEseq	y	NNNN
chr10	34800801	34800824	4	ONEseq	0.01	NNNN
chr10	65164448	65164473	6	ONEseq	0.002	NNNN
chr10	89640207	89640230	6	ONEseq	0.001	NNNN
chr10	89976545	89976568	6	ONEseq	0.002	NNNN
chr10	55971296	55971319	6	CHANGEseq	y	NNNN
chr10	3573493	3573516	6	CHANGEseq	y	NNNN
chr10	114342553	114342576	6	ONEseq	0.002	NNNN
chr10	81756455	81756478	5	GUIDEseq	1	NNNN
chr10	81756459	81756482	6	CHANGEseq	y	NNNN
